id:ID,label,file_type,category,source_file,labels:LABEL
0100_HGSPlanner,HGS-Planner,document,,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md,Entity;Document
0101_RTGuIDE,RT-GuIDE,document,,0101_[Robotics]_RT-GuIDE Real-Time Gaussian splatting for Information-Driven Explorat.md,Entity;Document
0102_ActiveSplat,ActiveSplat,document,,0102_[Robotics]_ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S.md,Entity;Document
0104_SAFERSplat,SAFER-Splat,document,,0104_[Robotics]_SAFER-Splat A Control Barrier Function for Safe Navigation with Online G.md,Entity;Document
0106_ActiveGS,ActiveGS,document,,0106_[Robotics]_ActiveGS Active Scene Reconstruction using Gaussian Splatting.md,Entity;Document
0128_GSLoc,GSLoc,document,,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md,Entity;Document
0129_LoGS,LoGS,document,,0129_[Robotics]_LoGS Visual Localization via Gaussian Splatting with Fewer Traini.md,Entity;Document
0130_GSplatLoc,SplatLoc,document,,0130_[Robotics]_SplatLoc 3D Gaussian Splatting-based Visual Localization for Augmente.md,Entity;Document
0136_sgloc,SGLoc: Semantic Localization System for Camera Geo-Localization,document,,0136_[Robotics]_SGLoc Semantic Localization System for Camera Pose Estimation from.md,Entity;Document
0140_dynamicgsg,DynamicGSG: Dynamic 3D Gaussian Scene Graphs for Environment Adaptation,document,,0140_[Robotics]_DynamicGSG Dynamic 3D Gaussian Scene Graphs for Environment Adaptation.md,Entity;Document
0141_dqomap,DQO-MAP: Dual Quadrics Object-Level SLAM with Gaussian Splatting,document,,0141_[Robotics]_DQO-MAP Dual Quadrics Multi-Object mapping with Gaussian Splatting.md,Entity;Document
0183_xgs,X-GS: Extensible Open Framework for Perceiving and Thinking via 3DGS,document,,0183_[General]_X-GS An Extensible Open Framework Unifying 3DGS Architectur.md,Entity;Document
category_general,General,concept,,0181_[General]_GSStream 3D Gaussian Splatting based Volumetric Scene Strea.md,Entity;Concept
category_robotics,Robotics,concept,,0073_[Robotics]_Ditto Building Digital Twins of Articulated Objects from Interacti.md,Entity;Concept
category_slam,SLAM,concept,,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md,Entity;Concept
category_slam_supplement,SLAM-Supplement,concept,,0143_[SLAM-Supplement]_`arXiv`.md,Entity;Concept
category_unknown,Unknown,concept,,2209.08409.md,Entity;Concept
concept:audio_driven_talking_head,Audio-Driven Talking Head Synthesis with 3DGS,concept,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Concept
concept:compositional_3d_generation,Compositional 3D Scene Generation with Diffusion Models,concept,,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,Entity;Concept
concept:medical_imaging_gs,Medical Imaging Reconstruction with Gaussian Splatting,concept,,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md,Entity;Concept
concept:reflective_surface_reconstruction,Reflective / Glossy Surface Reconstruction with 3DGS,concept,,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,Entity;Concept
