id,reviewed_category,reason
paper_2407_19323v6_4,General,"MSP-MVS is multi-view stereo / reconstruction, not SLAM or robotics."
paper_2508_03077v1,General,RobustGS is feedforward 3DGS quality enhancement.
paper_2602_18322v1_1,General,Color/lightness correction for novel view synthesis.
paper_2602_18322v1,General,Color/lightness correction for novel view synthesis.
paper_2603_04869v1,Robotics,Feature matching paper framed around robotic vision problems.
paper_2603_26599v1_1,General,"World-consistent video generation, not SLAM/robotics."
paper_2603_26599v1,General,"World-consistent video generation, not SLAM/robotics."
paper_illumination_refinement_via_textual_cues_a_prompt_driven_approach_for_low_light_nerf_enhancement,General,Low-light NeRF enhancement.
paper_2506_06909,SLAM,GaME is an RGBD mapping method for evolving scenes.
paper_improving_orb_slam3_performance_in_textureless_environments_mapping_and_localization_in_hospital_corridors,SLAM,Direct ORB-SLAM3 mapping/localization paper.
paper_2403_20159,SLAM,HGS-Mapping is online dense mapping in urban scenes.
paper_2410_17084,SLAM,LiDAR-inertial-visual mapping with Gaussian splatting.
paper_2412_08496v2,SLAM,Drift-free Visual SLAM using digital twins.
paper_2502_19592,Robotics,Asynchronous multi-agent neural implicit mapping for robots.
paper_2503_12572,SLAM,Deblur Gaussian Splatting SLAM.
paper_2512_08625,SLAM,OpenMonoGS-SLAM is explicitly a SLAM framework.
paper_2512_22771,Robotics,Next-best-view for embodied agents / active learning.
paper_2603_20443,SLAM,TRGS-SLAM for thermal images.
paper_2310_06984,SLAM,Uncertainty-aware visual localization with NeRF.
paper_2401_14857,SLAM,LiDAR-inertial-visual fusion map rendering / mapping system.
paper_2406_11766,SLAM,Efficient and scalable localization with NeRF.
paper_2408_11966,SLAM,Visual localization in 3D maps is better grouped under SLAM/localization.
paper_2507_16144,General,LongSplat is online long-sequence 3DGS reconstruction.
